id,x_tsne,y_tsne,z_tsne,genre,x_umap,y_umap,z_umap,tempo,album_cover,track_title,artist
0,-127.042564,19.877588,-4.116972,Hip-Hop,9.255767,2.644778,7.680147,152,,Food,AWOL
1,123.66412,-3.4039516,47.07909,Hip-Hop,9.312731,3.632258,6.629273,90,,Electric Ave,AWOL
2,47.087223,-60.95342,5.062883,Pop,9.443632,1.6982236,6.009628,81,,This World,AWOL
3,-48.67816,-4.777902,32.801365,Folk,7.951473,2.1128974,5.1759386,106,,Freeway,Kurt Vile
4,-64.16465,17.248343,-7.971599,Folk,7.996155,2.7708578,5.7005496,93,,Spiritual Level,Nicky Cook
5,-37.668842,80.66988,-7.4834003,Experimental,8.23439,2.04677,6.2237167,67,,Where is your Love?,Nicky Cook
6,8.04886,65.651306,109.72931,Rock,8.869938,2.8336632,7.3287597,124,,Too Happy,Nicky Cook
7,-57.292027,86.01751,24.032972,Folk,9.8483,2.930634,4.4617157,155,,Yosemite,Nicky Cook
8,-10.976179,17.90664,-68.58199,Folk,9.045981,2.7395923,5.1681542,130,,Light of Light,Nicky Cook
9,-23.595625,69.05571,30.00767,Folk,8.431369,2.0553648,4.824027,110,,Street Music,AWOL
10,-63.628334,37.88768,88.3467,Folk,8.911612,1.5403517,5.2406397,143,,Father's Day,Abominog
11,-13.749015,52.599815,-34.311283,Folk,9.966636,3.256452,4.8642893,92,,Peel Back The Mountain Sky,Abominog
12,-13.944453,60.16936,-82.20587,Folk,9.972839,1.7918911,4.6760583,88,,Side A,Airway
13,36.93802,51.394215,21.286577,Folk,8.360334,3.3859594,5.8299713,94,,Side B,Airway
14,-32.73307,46.01113,2.9940646,Folk,9.283743,3.2422197,7.2173004,67,,CandyAss,Alec K. Redfearn & the Eyesores
15,7.1813364,65.71754,3.3778188,Folk,8.384771,2.9925487,6.2384453,109,,Queen Of The Wires,Alec K. Redfearn & the Eyesores
16,13.37544,83.475395,-64.840454,Folk,9.32598,1.0896629,5.576626,79,,Ohio,Alec K. Redfearn & the Eyesores
