id,keys,key,filepath,album_cover_path,genre,tempo,title,artist,loudness,x_umap,y_umap,z_umap,x_tsne,y_tsne,z_tsne
0,"{'G major': 11.35, 'G minor': 9.18, 'C major': 9.16}",G major,data/gtzan/genres/blues/blues.00000.wav,data/gtzan/images/blues/blues.00000_cover.jpg,blues,123.046875,"One Bourbon, One Scotch, One Beer",John Lee Hooker,-44.27,7.7809873,6.612056,4.4226265,18.396141,-9.43305,42.075752
1,"{'G major': 9.67, 'G minor': 9.22, 'C major': 8.04}",G major,data/gtzan/genres/blues/blues.00001.wav,data/gtzan/images/blues/blues.00001_cover.jpg,blues,67.99958881578948,I'm In The Mood,John Lee Hooker,-50.3,6.7615414,7.036559,4.394194,11.441885,30.25523,1.6958504
2,"{'E minor': 10.58, 'E major': 9.3, 'A minor': 9.2}",E minor,data/gtzan/genres/blues/blues.00002.wav,data/gtzan/images/blues/blues.00002_cover.jpg,blues,161.4990234375,Think Twice Before You Go,John Lee Hooker,-40.07,5.74067,5.089885,4.1910954,19.754412,11.366365,20.592142
3,"{'E minor': 9.77, 'E major': 8.45, 'B major': 7.83}",E minor,data/gtzan/genres/blues/blues.00003.wav,data/gtzan/images/blues/blues.00003_cover.jpg,blues,63.02400914634146,I'm Bad Like Jesse James,John Lee Hooker,-53.16,5.4113092,6.4511395,4.8995614,31.481388,39.155087,4.6315246
4,"{'A# major': 10.19, 'A# minor': 10.09, 'D minor': 9.1}",A# major,data/gtzan/genres/blues/blues.00004.wav,data/gtzan/images/blues/blues.00004_cover.jpg,blues,135.99917763157896,Walkin' The Boogie,John Lee Hooker,-46.26,7.7509403,6.417361,6.3238854,3.3931098,-21.332542,-4.6057467
5,"{'D major': 10.41, 'G major': 10.22, 'B minor': 8.78}",D major,data/gtzan/genres/blues/blues.00005.wav,data/gtzan/images/blues/blues.00005_cover.jpg,blues,69.83741554054055,Sugar Mama,John Lee Hooker,-50.91,8.405032,5.5228324,5.736433,-8.369116,34.784447,39.131897
6,"{'F major': 12.61, 'F minor': 9.13, 'A minor': 8.77}",F major,data/gtzan/genres/blues/blues.00006.wav,data/gtzan/images/blues/blues.00006_cover.jpg,blues,71.77734375,Dreamin’ Blues,John Lee Hooker,-53.72,7.5704284,4.6838546,6.0200686,-23.520056,7.3379865,14.886515
7,"{'A# minor': 11.88, 'A# major': 11.81, 'F major': 7.64}",A# minor,data/gtzan/genres/blues/blues.00007.wav,data/gtzan/images/blues/blues.00007_cover.jpg,blues,92.28515625,Ground Hog Blues,John Lee Hooker,-49.86,7.140498,5.424403,4.2127404,39.87821,22.71296,16.703156
8,"{'F major': 10.14, 'C major': 9.68, 'F minor': 7.73}",F major,data/gtzan/genres/blues/blues.00008.wav,data/gtzan/images/blues/blues.00008_cover.jpg,blues,83.35433467741936,Shake It Baby,John Lee Hooker,-41.13,7.519755,6.0292273,4.404956,-3.0017421,-1.5771221,-50.982567
9,"{'G major': 10.51, 'G minor': 7.74, 'D minor': 6.95}",G major,data/gtzan/genres/blues/blues.00009.wav,data/gtzan/images/blues/blues.00009_cover.jpg,blues,80.74951171875,It's My Own Fault,John Lee Hooker,-51.41,5.1012974,5.9542637,5.4429293,-2.4841268,10.350225,30.850819
10,"{'F major': 9.58, 'F minor': 7.92, 'C major': 7.51}",F major,data/gtzan/genres/blues/blues.00010.wav,data/gtzan/images/blues/blues.00010_cover.jpg,blues,161.4990234375,Lonely Boy Boogie,John Lee Hooker,-51.79,8.004202,6.283865,6.412551,-33.45545,32.92855,-28.466295
11,"{'E major': 12.26, 'E minor': 12.03, 'A minor': 6.74}",E major,data/gtzan/genres/blues/blues.00011.wav,data/gtzan/images/blues/blues.00011_cover.jpg,blues,161.4990234375,It Serves You Right To Suffer,John Lee Hooker,-57.34,6.382784,6.2223473,5.5456743,-5.913532,-12.44479,33.63283
12,"{'B major': 12.8, 'B minor': 11.67, 'F# major': 7.27}",B major,data/gtzan/genres/blues/blues.00012.wav,data/gtzan/images/blues/blues.00012_cover.jpg,blues,184.5703125,Cross Road Blues,Robert Johnson,-50.24,6.3588,4.337413,6.5343666,7.7045903,7.6278067,-51.079323
13,"{'B minor': 12.17, 'B major': 12.0, 'G# minor': 6.36}",B minor,data/gtzan/genres/blues/blues.00013.wav,data/gtzan/images/blues/blues.00013_cover.jpg,blues,107.666015625,Terraplane Blues,Robert Johnson,-53.74,6.8608704,5.3255677,6.9307785,-4.670655,-40.08495,-1.7709694
