index,filepath,keys,key,album_cover_path,genre,genres,tempo,title,artist,loudness,x_tsne,y_tsne,z_tsne,x_umap,y_umap,z_umap
0,dashboard/data\gtzan\genres_original\blues\blues.00005.wav,"{'D major': 10.41, 'G major': 10.22, 'B minor': 8.78}",D major,dashboard/data\gtzan\images\blues.00005.jpg,blues,"[{'score': 0.9881815314292908, 'label': 'blues'}, {'score': 0.0031687826849520206, 'label': 'reggae'}, {'score': 0.002530639758333564, 'label': 'country'}]",69.84,Sugar Mama,John Lee Hooker,-14.50105,55.15998840332031,-282.55413818359375,-240.66786193847656,3.807645797729492,6.496373176574707,11.429935455322266
1,dashboard/data\gtzan\genres_original\blues\blues.00008.wav,"{'F major': 10.14, 'C major': 9.68, 'F minor': 7.73}",F major,dashboard/data\gtzan\images\blues.00008.jpg,blues,"[{'score': 0.9822410941123962, 'label': 'blues'}, {'score': 0.00986571703106165, 'label': 'reggae'}, {'score': 0.0026753058191388845, 'label': 'jazz'}]",83.35,Shake It Baby,John Lee Hooker,-5.509373,156.23345947265625,-421.77581787109375,117.2047119140625,4.204996109008789,4.9776763916015625,12.228328704833984
2,dashboard/data\gtzan\genres_original\blues\blues.00002.wav,"{'E minor': 10.58, 'E major': 9.3, 'A minor': 9.2}",E minor,dashboard/data\gtzan\images\blues.00002.jpg,blues,"[{'score': 0.9851744771003723, 'label': 'blues'}, {'score': 0.0072280168533325195, 'label': 'reggae'}, {'score': 0.0021479539573192596, 'label': 'jazz'}]",161.5,Think Twice Before You Go (feat. Los Lobos),John Lee Hooker,-5.815835,-72.57173156738281,646.3428955078125,-282.9554138183594,4.33233118057251,6.802873611450195,11.461387634277344
3,dashboard/data\gtzan\genres_original\blues\blues.00003.wav,"{'E minor': 9.77, 'E major': 8.45, 'B major': 7.83}",E minor,dashboard/data\gtzan\images\blues.00003.jpg,blues,"[{'score': 0.9771277904510498, 'label': 'blues'}, {'score': 0.005528334993869066, 'label': 'reggae'}, {'score': 0.0052505130879580975, 'label': 'country'}]",63.02,I'm Bad Like Jesse James,John Lee Hooker,-10.48215,462.71087646484375,-617.9929809570312,171.34881591796875,3.6192495822906494,5.420426368713379,10.931204795837402
4,dashboard/data\gtzan\genres_original\blues\blues.00011.wav,"{'E major': 12.26, 'E minor': 12.03, 'A minor': 6.74}",E major,dashboard/data\gtzan\images\blues.00011.jpg,blues,"[{'score': 0.9748100638389587, 'label': 'blues'}, {'score': 0.012954160571098328, 'label': 'reggae'}, {'score': 0.006199475843459368, 'label': 'country'}]",161.5,It Serves You Right to Suffer,John Lee Hooker,-15.666028,-560.2567749023438,-440.7694396972656,74.69995880126953,3.6638386249542236,4.849193096160889,11.775779724121094
5,dashboard/data\gtzan\genres_original\blues\blues.00006.wav,"{'F major': 12.61, 'F minor': 9.13, 'A minor': 8.77}",F major,dashboard/data\gtzan\images\blues.00006.jpg,blues,"[{'score': 0.9880379438400269, 'label': 'blues'}, {'score': 0.004693342838436365, 'label': 'reggae'}, {'score': 0.002567239571362734, 'label': 'country'}]",71.78,Dreamin' Blues,John Lee Hooker,-14.087515,214.13528442382812,-80.49433898925781,-33.62786102294922,4.092460632324219,5.829192161560059,11.552397727966309
6,dashboard/data\gtzan\genres_original\blues\blues.00012.wav,"{'B major': 12.8, 'B minor': 11.67, 'F# major': 7.27}",B major,dashboard/data\gtzan\images\blues.00012.jpg,blues,"[{'score': 0.9889761209487915, 'label': 'blues'}, {'score': 0.0027626894880086184, 'label': 'reggae'}, {'score': 0.0026801046915352345, 'label': 'country'}]",184.57,Cross Road Blues,Robert Johnson,-10.033162,83.30365753173828,-50.19076156616211,287.2120666503906,3.4942073822021484,7.031181812286377,12.461085319519043
7,dashboard/data\gtzan\genres_original\blues\blues.00001.wav,"{'G major': 9.67, 'G minor': 9.22, 'C major': 8.04}",G major,dashboard/data\gtzan\images\blues.00001.jpg,blues,"[{'score': 0.9871615767478943, 'label': 'blues'}, {'score': 0.004276954103261232, 'label': 'reggae'}, {'score': 0.004169119987636805, 'label': 'country'}]",68.0,I'm In The Mood,Eddie Kirkland,-10.720561,477.1759948730469,-222.52389526367188,101.7916030883789,3.703187942504883,5.128028392791748,12.208211898803711
8,dashboard/data\gtzan\genres_original\blues\blues.00004.wav,"{'A# major': 10.19, 'A# minor': 10.09, 'D minor': 9.1}",A# major,dashboard/data\gtzan\images\blues.00004.jpg,blues,"[{'score': 0.9856849908828735, 'label': 'blues'}, {'score': 0.003943362273275852, 'label': 'country'}, {'score': 0.0025004209019243717, 'label': 'classical'}]",136.0,Walkin' the Boogie,John Lee Hooker,-11.306914,-322.59033203125,-48.3736457824707,530.73876953125,2.024164915084839,6.948195457458496,11.389962196350098
9,dashboard/data\gtzan\genres_original\blues\blues.00007.wav,"{'A# minor': 11.88, 'A# major': 11.81, 'F major': 7.64}",A# minor,dashboard/data\gtzan\images\blues.00007.jpg,blues,"[{'score': 0.9865882992744446, 'label': 'blues'}, {'score': 0.005535503849387169, 'label': 'country'}, {'score': 0.0021523803006857634, 'label': 'reggae'}]",92.29,Ground Hog Blues,John Lee Hooker,-11.252454,-136.80508422851562,515.8336791992188,149.19847106933594,2.537092924118042,6.274831771850586,11.131595611572266
