id,keys,key,album_cover_path,genre,genres,tempo,title,artist,loudness,filepath,x_tsne,y_tsne,z_tsne,x_umap,y_umap,z_umap
0,"{'B major': 9.45, 'B minor': 9.37, 'E minor': 8.18}",B major,data\rnd_songs\images\blues_rnd.jpg,blues,"[{'score': 0.8656946420669556, 'label': 'blues'}, {'score': 0.06708937138319016, 'label': 'rock'}, {'score': 0.03783481940627098, 'label': 'country'}]",76.0,Blue-Zero,GianPiero Siniester,-6.8263946,data\rnd_songs\blues_rnd.wav,-476.6805114746094,-174.1313018798828,-280.0584411621094,6.04478120803833,2.8381993770599365,-0.7164290547370911
1,"{'C minor': 11.16, 'F minor': 9.23, 'G# major': 8.52}",C minor,data\plain_cover.jpg,classical,"[{'score': 0.990721583366394, 'label': 'classical'}, {'score': 0.003906832542270422, 'label': 'metal'}, {'score': 0.003036805894225836, 'label': 'jazz'}]",92.29,Unknown Title,Unknown Artist,-12.338249,data\rnd_songs\classical_rnd.wav,590.0240478515625,178.5513153076172,-151.62750244140625,2.7450335025787354,12.160338401794434,8.499083518981934
2,"{'G major': 11.11, 'G minor': 9.35, 'D major': 6.02}",G major,data\rnd_songs\images\country_rnd.jpg,country,"[{'score': 0.9869296550750732, 'label': 'country'}, {'score': 0.005227359011769295, 'label': 'pop'}, {'score': 0.004422000143676996, 'label': 'rock'}]",123.05,Killin' Time,Clint Black,-5.240183,data\rnd_songs\country_rnd.wav,-572.4259643554688,154.02841186523438,83.73223114013672,5.236627101898193,2.910179853439331,-0.8993838429450989
3,"{'A# minor': 9.67, 'G# major': 8.45, 'C# major': 7.49}",A# minor,data\rnd_songs\images\disco_rnd.jpg,disco,"[{'score': 0.9848279356956482, 'label': 'disco'}, {'score': 0.0036666193045675755, 'label': 'metal'}, {'score': 0.003206369001418352, 'label': 'reggae'}]",117.45,Le Freak,Chic,-9.950938,data\rnd_songs\disco_rnd.wav,106.38191986083984,252.53404235839844,187.9612579345703,12.299663543701172,-0.008556096814572811,17.550819396972656
4,"{'D# minor': 11.9, 'D# major': 10.71, 'G minor': 8.89}",D# minor,data\rnd_songs\images\hiphop_rnd.jpg,hiphop,"[{'score': 0.8024410009384155, 'label': 'hiphop'}, {'score': 0.1357944905757904, 'label': 'reggae'}, {'score': 0.05745283514261246, 'label': 'disco'}]",172.27,"Lose Yourself (From ""8 Mile"")",Eminem,-7.615283,data\rnd_songs\hiphop_rnd.wav,23.481243133544922,260.23626708984375,-170.65806579589844,12.013952255249023,0.39925679564476013,17.2474422454834
5,"{'D# major': 9.56, 'D# minor': 8.46, 'A# major': 6.99}",D# major,data\rnd_songs\images\jazz_rnd.jpg,jazz,"[{'score': 0.9944401979446411, 'label': 'jazz'}, {'score': 0.001577647402882576, 'label': 'classical'}, {'score': 0.0011462391121312976, 'label': 'reggae'}]",123.05,Take Five,Dave Brubeck,-13.304819,data\rnd_songs\jazz_rnd.wav,199.7845458984375,-376.18255615234375,-87.14559936523438,2.5680534839630127,12.337302207946777,8.676030158996582
6,"{'D# major': 8.71, 'A# major': 8.53, 'C minor': 7.92}",D# major,data\rnd_songs\images\metal_rnd.jpg,metal,"[{'score': 0.9897874593734741, 'label': 'metal'}, {'score': 0.004322168417274952, 'label': 'rock'}, {'score': 0.0019083991646766663, 'label': 'classical'}]",76.0,Iron Man,Black Sabbath,-6.250776,data\rnd_songs\metal_rnd.wav,514.8261108398438,-55.26649475097656,191.1909942626953,5.715385913848877,3.102221965789795,-0.09643843024969101
7,"{'C major': 12.19, 'E minor': 8.47, 'F minor': 8.41}",C major,data\rnd_songs\images\pop_rnd.jpg,pop,"[{'score': 0.9760200381278992, 'label': 'pop'}, {'score': 0.01966216042637825, 'label': 'disco'}, {'score': 0.0014262543991208076, 'label': 'rock'}]",95.7,Love On Top,Beyoncé,-6.8127027,data\rnd_songs\pop_rnd.wav,-97.72323608398438,37.36541748046875,454.6905212402344,12.067529678344727,-0.49983713030815125,17.356285095214844
8,"{'A minor': 10.73, 'E major': 7.56, 'E minor': 7.36}",A minor,data\rnd_songs\images\reggae_rnd.jpg,reggae,"[{'score': 0.9762776494026184, 'label': 'reggae'}, {'score': 0.015949800610542297, 'label': 'blues'}, {'score': 0.004249910358339548, 'label': 'jazz'}]",172.27,Bad Boys (Theme from Cops),Inner Circle,-8.656909,data\rnd_songs\reggae_rnd.wav,24.491209030151367,-62.9002685546875,-407.7505187988281,11.696429252624512,0.4999246597290039,16.925241470336914
9,"{'A# major': 9.34, 'D# major': 9.13, 'A# minor': 9.11}",A# major,data\rnd_songs\images\rock_rnd.jpg,rock,"[{'score': 0.6245799660682678, 'label': 'rock'}, {'score': 0.3044835031032562, 'label': 'country'}, {'score': 0.034519415348768234, 'label': 'metal'}]",143.55,Bohemian Rhapsody,Queen,-12.082065,data\rnd_songs\rock_rnd.wav,-433.9404602050781,-167.7095489501953,124.671142578125,5.506585597991943,2.625277519226074,-0.530437171459198
