File,BPM
blues.00000.wav,123
blues.00001.wav,68
blues.00002.wav,161
blues.00003.wav,63
blues.00004.wav,136
blues.00005.wav,70
blues.00006.wav,72
blues.00007.wav,92
blues.00008.wav,83
blues.00009.wav,81
blues.00010.wav,161
blues.00011.wav,161
blues.00012.wav,185
blues.00013.wav,108
blues.00014.wav,152
blues.00015.wav,103
blues.00016.wav,199
blues.00017.wav,172
blues.00018.wav,83
blues.00019.wav,123
blues.00020.wav,136
blues.00021.wav,99
blues.00022.wav,96
blues.00023.wav,185
blues.00024.wav,103
blues.00025.wav,92
blues.00026.wav,83
blues.00027.wav,92
blues.00028.wav,103
blues.00029.wav,129
blues.00030.wav,152
blues.00031.wav,152
blues.00032.wav,144
blues.00033.wav,152
blues.00034.wav,185
blues.00035.wav,129
blues.00036.wav,152
blues.00037.wav,123
blues.00038.wav,86
blues.00039.wav,117
blues.00040.wav,172
blues.00041.wav,129
blues.00042.wav,89
blues.00043.wav,129
blues.00044.wav,136
blues.00045.wav,129
blues.00046.wav,123
blues.00047.wav,152
blues.00048.wav,123
blues.00049.wav,123
blues.00050.wav,136
blues.00051.wav,99
blues.00052.wav,152
blues.00053.wav,103
blues.00054.wav,89
blues.00055.wav,136
blues.00056.wav,161
blues.00057.wav,92
blues.00058.wav,108
blues.00059.wav,108
blues.00060.wav,152
blues.00061.wav,129
blues.00062.wav,112
blues.00063.wav,92
blues.00064.wav,78
blues.00065.wav,108
blues.00066.wav,161
blues.00067.wav,161
blues.00068.wav,161
blues.00069.wav,78
blues.00070.wav,144
blues.00071.wav,74
blues.00072.wav,103
blues.00073.wav,99
blues.00074.wav,112
blues.00075.wav,117
blues.00076.wav,117
blues.00077.wav,99
blues.00078.wav,123
blues.00079.wav,78
blues.00080.wav,117
blues.00081.wav,103
blues.00082.wav,123
blues.00083.wav,136
blues.00084.wav,112
blues.00085.wav,144
blues.00086.wav,123
blues.00087.wav,172
blues.00088.wav,172
blues.00089.wav,108
blues.00090.wav,144
blues.00091.wav,63
blues.00092.wav,83
blues.00093.wav,59
blues.00094.wav,103
blues.00095.wav,136
blues.00096.wav,144
blues.00097.wav,117
blues.00098.wav,123
blues.00099.wav,92
classical.00000.wav,96
classical.00001.wav,112
classical.00002.wav,99
classical.00003.wav,72
classical.00004.wav,161
classical.00005.wav,144
classical.00006.wav,99
classical.00007.wav,215
classical.00008.wav,136
classical.00009.wav,235
classical.00010.wav,103
classical.00011.wav,152
classical.00012.wav,96
classical.00013.wav,129
classical.00014.wav,144
classical.00015.wav,83
classical.00016.wav,99
classical.00017.wav,89
classical.00018.wav,161
classical.00019.wav,185
classical.00020.wav,144
classical.00021.wav,136
classical.00022.wav,108
classical.00023.wav,96
classical.00024.wav,152
classical.00025.wav,129
classical.00026.wav,161
classical.00027.wav,136
classical.00028.wav,161
classical.00029.wav,136
classical.00030.wav,117
classical.00031.wav,112
classical.00032.wav,103
classical.00033.wav,96
classical.00034.wav,123
classical.00035.wav,152
classical.00036.wav,108
classical.00037.wav,161
classical.00038.wav,152
classical.00039.wav,161
classical.00040.wav,108
classical.00041.wav,123
classical.00042.wav,199
classical.00043.wav,129
classical.00044.wav,81
classical.00045.wav,185
classical.00046.wav,129
classical.00047.wav,123
classical.00048.wav,172
classical.00049.wav,103
classical.00050.wav,108
classical.00051.wav,136
classical.00052.wav,161
classical.00053.wav,215
classical.00054.wav,96
classical.00055.wav,78
classical.00056.wav,96
classical.00057.wav,108
classical.00058.wav,144
classical.00059.wav,117
classical.00060.wav,123
classical.00061.wav,152
classical.00062.wav,89
classical.00063.wav,96
classical.00064.wav,89
classical.00065.wav,123
classical.00066.wav,136
classical.00067.wav,144
classical.00068.wav,83
classical.00069.wav,70
classical.00070.wav,161
classical.00071.wav,144
classical.00072.wav,117
classical.00073.wav,129
classical.00074.wav,161
classical.00075.wav,117
classical.00076.wav,172
classical.00077.wav,161
classical.00078.wav,68
classical.00079.wav,144
classical.00080.wav,144
classical.00081.wav,152
classical.00082.wav,112
classical.00083.wav,117
classical.00084.wav,112
classical.00085.wav,108
classical.00086.wav,99
classical.00087.wav,123
classical.00088.wav,103
classical.00089.wav,99
classical.00090.wav,96
classical.00091.wav,92
classical.00092.wav,96
classical.00093.wav,136
classical.00094.wav,185
classical.00095.wav,86
classical.00096.wav,136
classical.00097.wav,103
classical.00098.wav,185
classical.00099.wav,96
country.00000.wav,86
country.00001.wav,129
country.00002.wav,83
country.00003.wav,161
country.00004.wav,117
country.00005.wav,129
country.00006.wav,112
country.00007.wav,103
country.00008.wav,66
country.00009.wav,96
country.00010.wav,81
country.00011.wav,112
country.00012.wav,89
country.00013.wav,129
country.00014.wav,136
country.00015.wav,152
country.00016.wav,108
country.00017.wav,89
country.00018.wav,86
country.00019.wav,83
country.00020.wav,103
country.00021.wav,108
country.00022.wav,185
country.00023.wav,83
country.00024.wav,129
country.00025.wav,74
country.00026.wav,108
country.00027.wav,92
country.00028.wav,89
country.00029.wav,89
country.00030.wav,161
country.00031.wav,112
country.00032.wav,99
country.00033.wav,92
country.00034.wav,136
country.00035.wav,99
country.00036.wav,112
country.00037.wav,99
country.00038.wav,152
country.00039.wav,123
country.00040.wav,144
country.00041.wav,129
country.00042.wav,103
country.00043.wav,136
country.00044.wav,78
country.00045.wav,78
country.00046.wav,78
country.00047.wav,152
country.00048.wav,117
country.00049.wav,112
country.00050.wav,117
country.00051.wav,65
country.00052.wav,72
country.00053.wav,89
country.00054.wav,76
country.00055.wav,129
country.00056.wav,81
country.00057.wav,68
country.00058.wav,112
country.00059.wav,136
country.00060.wav,70
country.00061.wav,60
country.00062.wav,172
country.00063.wav,83
country.00064.wav,66
country.00065.wav,123
country.00066.wav,112
country.00067.wav,65
country.00068.wav,172
country.00069.wav,112
country.00070.wav,112
country.00071.wav,144
country.00072.wav,152
country.00073.wav,152
country.00074.wav,136
country.00075.wav,96
