,G major,G minor,C major,E minor,E major,A minor,B major,A# major,A# minor,D minor,D major,B minor,F major,F minor,F# major,G# minor,A major,F# minor,C# minor,C# major,C minor,D# minor,D# major,G# major
blues.00000.wav,11.35,9.18,9.16,,,,,,,,,,,,,,,,,,,,,
blues.00001.wav,9.67,9.22,8.04,,,,,,,,,,,,,,,,,,,,,
blues.00002.wav,,,,10.58,9.3,9.2,,,,,,,,,,,,,,,,,,
blues.00003.wav,,,,9.77,8.45,,7.83,,,,,,,,,,,,,,,,,
blues.00004.wav,,,,,,,,10.19,10.09,9.1,,,,,,,,,,,,,,
blues.00005.wav,10.22,,,,,,,,,,10.41,8.78,,,,,,,,,,,,
blues.00006.wav,,,,,,8.77,,,,,,,12.61,9.13,,,,,,,,,,
blues.00007.wav,,,,,,,,11.81,11.88,,,,7.64,,,,,,,,,,,
blues.00008.wav,,,9.68,,,,,,,,,,10.14,7.73,,,,,,,,,,
blues.00009.wav,10.51,7.74,,,,,,,,6.95,,,,,,,,,,,,,,
blues.00010.wav,,,7.51,,,,,,,,,,9.58,7.92,,,,,,,,,,
blues.00011.wav,,,,12.03,12.26,6.74,,,,,,,,,,,,,,,,,,
blues.00012.wav,,,,,,,12.8,,,,,11.67,,,7.27,,,,,,,,,
blues.00013.wav,,,,,,,12.0,,,,,12.17,,,,6.36,,,,,,,,
blues.00014.wav,,,,,,,12.07,,,,,17.59,,,8.3,,,,,,,,,
blues.00015.wav,,,,,7.84,,12.43,,,,,11.38,,,,,,,,,,,,
blues.00016.wav,,,,,8.05,8.73,,,,,,,,,,,11.22,,,,,,,
blues.00017.wav,,,,,,11.01,,,,,,,,,,,10.09,9.15,,,,,,
blues.00018.wav,,,,,,,8.75,,,,,,,,8.4,,,8.92,,,,,,
blues.00019.wav,,,,,,9.43,,,,,,,,,,,12.5,,8.01,,,,,
blues.00020.wav,,,,8.83,9.12,,7.81,,,,,,,,,,,,,,,,,
blues.00021.wav,,,,,,,8.31,,,,,,,,11.16,,,10.06,,,,,,
blues.00022.wav,,,,,,,,,,,,,,,11.59,,,7.99,,7.76,,,,
blues.00023.wav,,,,,,10.87,,,,,,,6.59,,,,9.93,,,,,,,
blues.00024.wav,,,,,,,,8.82,9.65,,,8.24,,,,,,,,,,,,
blues.00025.wav,,,,,,,,8.23,7.52,,,8.54,,,,,,,,,,,,
blues.00026.wav,,,,,,,10.03,,,,,10.91,,,,6.13,,,,,,,,
blues.00027.wav,,,,,8.45,,10.96,,,,,11.16,,,,,,,,,,,,
blues.00028.wav,,,,,,,,9.41,9.28,,,,7.54,,,,,,,,,,,
blues.00029.wav,,7.61,,,,,,,,11.83,10.42,,,,,,,,,,,,,
blues.00030.wav,,,6.7,,,,,,,,,,9.82,10.85,,,,,,,,,,
blues.00031.wav,,7.6,,,,,,,,8.34,11.74,,,,,,,,,,,,,
blues.00032.wav,,7.53,8.43,,,,,,,,,,,,,,,,,,7.78,,,
blues.00033.wav,,,,,,,,,7.12,,,,12.03,9.35,,,,,,,,,,
blues.00034.wav,,,,,,,,,,12.72,10.93,,,,,,7.36,,,,,,,
blues.00035.wav,,,,,,,6.97,,,,,,,,7.43,7.3,,,,,,,,
blues.00036.wav,,,,,,,,7.87,,,,,11.12,9.05,,,,,,,,,,
blues.00037.wav,,,8.71,,,,,,,,,,10.75,15.2,,,,,,,,,,
blues.00038.wav,,,,,,,,,,,,,,,,6.38,,,,,,9.41,8.95,
blues.00039.wav,,,,,,,,,7.49,,,,11.71,8.41,,,,,,,,,,
blues.00040.wav,,,,,,,,,,,,,,,,9.01,,,,8.1,,,,11.45
blues.00041.wav,,,,,,,,,,,,,,,,7.27,,,,,,7.99,12.0,
blues.00042.wav,,,,,,,11.01,,,,,7.95,,,10.04,,,,,,,,,
blues.00043.wav,,,,9.88,7.61,,10.79,,,,,,,,,,,,,,,,,
blues.00044.wav,,,,,,,,,,,,,,,,,,,,,,8.65,11.71,7.64
blues.00045.wav,,,,,,,,,7.54,,,,,,,,,,,,,7.37,8.41,
blues.00046.wav,,,,,,,,,,,,,,,,9.25,,,,,,,11.19,8.38
blues.00047.wav,,,,,,,,,,,,,,,,,,7.81,10.39,9.02,,,,
blues.00048.wav,,,,,,,,,,,,,,,,,,,,,,8.62,10.24,6.82
blues.00049.wav,,,,,,,,,9.15,,,,,,,,,,,,,8.44,7.67,
blues.00050.wav,,,,8.75,8.65,,11.14,,,,,,,,,,,,,,,,,
blues.00051.wav,,,,10.2,12.66,,,,,,,,,,,6.55,,,,,,,,
blues.00052.wav,10.23,8.11,9.03,,,,,,,,,,,,,,,,,,,,,
blues.00053.wav,,,,,,,,,,,,,,,,9.47,,,8.3,,,,,11.2
blues.00054.wav,,,,,,,,,,7.63,8.25,,,,,,11.06,,,,,,,
blues.00055.wav,11.63,10.5,9.01,,,,,,,,,,,,,,,,,,,,,
blues.00056.wav,,,,12.06,9.53,8.8,,,,,,,,,,,,,,,,,,
blues.00057.wav,,,,9.38,8.22,,11.53,,,,,,,,,,,,,,,,,
blues.00058.wav,,,,,,,,,,,,,,,,,,,8.78,8.33,,,,8.3
blues.00059.wav,10.28,7.47,7.37,,,,,,,,,,,,,,,,,,,,,
blues.00060.wav,,,,,,9.13,,,,,7.34,,,,,,11.22,,,,,,,
blues.00061.wav,,,,,,,,7.2,,,,,,,,,,,,,,,8.68,7.15
blues.00062.wav,,,,,,,,,,,,,7.35,10.54,,,,,,6.96,,,,
blues.00063.wav,,,,,,,,,,,,,9.33,7.88,,,,,,,9.43,,,
blues.00064.wav,,,8.1,,,,,,,,,,9.22,8.83,,,,,,,,,,
blues.00065.wav,6.55,,10.6,,,,,,,,,,,,,,,,,,10.48,,,
